Dt,weight
4266.840999999999,4.1753216707976105e-07
4294.956,1.2699308226328064e-06
4291.74,1.502940588954379e-07
4299.597,1.098056138139315e-06
4307.26,2.6719349006113716e-06
4322.6140000000005,5.523991874983531e-07
4325.853,1.5156415374770275e-06
4321.376,2.7064584958118296e-06
4289.695,7.786280307285582e-06
4288.657,1.1967163511079624e-05
4304.1359999999995,2.502011033943192e-06
4296.593,3.7940610977142928e-06
4334.557,2.0494703010338462e-07
4333.441,3.8096506183738396e-06
4313.138,1.0453257695967002e-06
4326.163,1.560051786632471e-06
4311.776,4.2287396226720976e-06
4311.7029999999995,1.908494569525459e-06
4309.356,3.3828264305461313e-06
4302.3009999999995,5.0495774295675276e-05
4293.91,2.3422472039500974e-06
4293.255,7.71441160088666e-07
4303.817,6.950482275803288e-06
4292.5,5.875536262208513e-07
4293.12,8.292105395608083e-06
4291.393,2.9934092518912487e-06
4285.567,2.1481692002364705e-06
4291.877,8.390966776993407e-06
4298.238,4.205623824146573e-06
4290.093,4.434055203631163e-06
4306.174,1.3064707443481094e-06
4295.677,5.81986935059887e-07
4298.241,6.290417751699509e-06
4287.413,5.244264612512168e-06
4279.593,5.644708399483204e-06
4268.268,1.4019622968458707e-06
4282.53,5.19110456886419e-06
4282.607,2.0211215445924604e-06
4276.54,4.944112565950672e-06
4267.643,8.308436144510615e-07
4277.475,9.566306146838967e-06
4307.156,8.098354419525668e-07
4308.473,6.701409985134751e-06
4291.963,2.5830158813579587e-06
4276.45,1.592748359956341e-06
4269.844,1.0293437126164077e-05
4264.545,1.3941100229815859e-05
4279.577,2.5039200706358096e-06
4280.122,1.2618340517697915e-06
4298.015,5.985307161575157e-06
4289.096,1.1377967009455912e-06
4283.772,4.317235672434037e-07
4275.184,2.492549412745493e-06
4260.482,1.8830911250308027e-06
4264.414000000001,1.7072771502856174e-05
4271.517,1.2944321041511353e-05
4264.782,3.170862491324124e-06
4262.465999999999,7.97927819134659e-06
4273.857,5.812689185572866e-07
4278.209,3.642603460064138e-06
4265.363,9.706855813957162e-07
4264.175,1.7990465712584045e-07
4269.458,4.1277252234118784e-07
4270.063,3.2392396361525697e-06
4275.068,1.2732083203752793e-06
4257.255999999999,1.0352338206934137e-05
4244.865,1.0826435425231537e-05
4244.815,1.6676686364913133e-06
4249.085,5.925524034670435e-07
4251.742,1.9927057320121816e-06
4241.638,8.877861401490168e-06
4260.779,4.38153889891655e-06
4266.222,3.7994539587305903e-06
4264.778,2.055345966250168e-06
4260.867,1.232700738503366e-05
4258.437,7.27483797778972e-07
4255.911,1.9174589436624497e-06
4245.28,8.933146608924579e-07
4251.226,6.359000707292708e-06
4258.391,2.022506511768812e-06
4253.246,5.752849318858312e-07
4262.544,9.746042389892899e-06
4264.3240000000005,1.549679749395196e-06
4237.786,3.703494044893489e-06
4244.044,4.130876861939815e-07
4251.5779999999995,7.313338517842942e-07
4253.831,9.270521518185173e-06
4249.07,1.6073315227160504e-06
4259.212,1.448649359824933e-06
4246.073,1.3720635119631676e-06
4234.583,2.3561417517450287e-06
4245.139,6.168726334103631e-07
4253.375,6.967241152361824e-07
4265.503,2.2355964783077567e-06
4266.999,1.4758499088419023e-05
4290.9890000000005,6.0616737874443906e-06
4294.55,9.157500975164519e-07
4286.665,3.513426514102072e-06
4288.47,7.818080391614107e-07
4285.079000000001,1.0748665778610097e-06
4280.9529999999995,2.9876073484277084e-06
4281.29,1.7251883608001951e-06
4275.514,9.920997014427355e-06
4298.317,1.5417139959112472e-06
4283.948,1.054130240633255e-06
4289.0,3.8422223641160796e-06
4291.981,3.25260237718444e-06
4298.177,2.3422528779310807e-06
4284.105,1.625949917587715e-06
4270.5070000000005,4.8411365167196286e-08
4276.534000000001,4.822446423360994e-07
4289.505,1.7490433243028932e-06
4299.965,7.167625528030043e-07
4295.876,2.4832244829078434e-06
4301.247,2.266367508812513e-06
4282.205,5.327058311385999e-07
4294.913,3.4104329271116247e-06
4271.371,5.893337088002145e-07
4286.7609999999995,2.695926039657666e-07
4279.588,7.808909175079456e-06
4292.436,2.226056968825652e-06
4280.085999999999,5.005890870895667e-06
4288.742,9.198977776151651e-06
4291.895,7.859474661968758e-06
4310.362,8.23409667730174e-05
4336.438,2.374360904682058e-06
4323.527,1.8852059724881743e-06
4326.689,3.7454371439541495e-06
4333.799,1.604072078549433e-06
4343.210999999999,6.567890896271184e-06
4347.952,4.81327984917442e-06
4352.1320000000005,7.259905091474863e-06
4347.485,2.4038929440666664e-06
4336.329000000001,1.826804717861086e-06
4336.460999999999,9.550274571479184e-07
4329.208,6.238774208423401e-07
4308.915,1.742624504361544e-06
4297.719,2.185641202282376e-06
4303.5070000000005,6.746523292115657e-06
4313.9,3.317508593100532e-06
4294.679,6.40309269769664e-06
4292.085999999999,3.541986239472742e-06
4300.273,1.5764795090281706e-06
4293.704000000001,2.184743165837672e-06
4286.843,5.264629046077296e-06
4286.759,7.108471697198002e-06
4270.198,1.2381343490194517e-06
4258.71,1.8072511477601002e-06
4264.079000000001,4.7987611634713395e-06
4254.920999999999,3.2708989025894218e-06
4261.880999999999,9.093302459421966e-07
4250.043,5.205764072458945e-07
4228.918,6.126774981979722e-07
4228.613,1.584443199246307e-06
4212.289000000001,8.270925972047187e-07
4193.005,5.03172966447667e-07
4184.309,1.407670321714962e-06
4219.642,1.4798815302386866e-06
4214.789000000001,1.1747554656207444e-05
4219.228,3.4293314103172784e-06
4223.669,3.436692111101838e-06
4226.98,1.0017707441203597e-05
4224.66,2.5180209450119477e-06
4242.904,9.081165298282466e-06
4241.012,2.3099570939912054e-05
4237.206,5.8783629363710484e-06
4227.965999999999,7.745051098195896e-07
4233.031,3.5192052058252263e-07
4242.019,4.216696340127046e-06
4234.026,2.8765680564030952e-06
4232.415,6.537395827568792e-06
4226.508,2.6812412610567123e-12
4230.321,4.167657669938677e-06
4231.116,2.020073405559929e-06
4250.607,7.516539251344635e-07
4263.916,3.8083997634752717e-07
4259.766,3.959562869930754e-06
4250.764,4.950854286991611e-06
4230.502,9.277748106691947e-07
4234.912,7.593117361959607e-07
4237.406,5.133952621686308e-07
4235.498,9.091105081332111e-07
4238.45,9.572222561555078e-07
4224.829000000001,1.3578470947015534e-06
4218.3,4.112059877733738e-06
4249.599,3.1966311338675165e-06
4248.312,2.622523810943924e-06
4251.247,1.1560612457304862e-06
4246.887,3.6294805736829215e-06
4265.72,4.542826966528311e-06
4247.942,2.947471670218421e-07
4253.637,2.7440940116733417e-06
4246.098,3.979455331441371e-07
4249.3859999999995,2.0457182521545974e-06
4263.625,7.689069538549913e-07
4257.417,7.194793580610472e-07
4250.827,3.1778218869082353e-07
4264.464,4.947994600576083e-07
4260.02,1.8768368505379663e-06
4246.7970000000005,1.5759007629678849e-06
4235.749,1.6557218116229763e-05
4224.8,2.273709640204763e-06
4215.888,1.093944565192313e-06
4202.441,4.4980370764634476e-07
4209.139,9.223644118934945e-06
4206.169,4.611087536838377e-05
4207.9929999999995,4.1913511828915805e-06
4215.0109999999995,7.940421737940786e-07
4251.17,1.3319051378299466e-06
4251.403,1.9802152366023644e-06
4265.3640000000005,2.196228850797012e-06
4247.159000000001,2.8056809487142656e-06
4248.635,1.5376555520589063e-06
4261.536,3.326152645220198e-06
4251.327,4.147943680920803e-05
4244.335,0.0004914013644284199
4261.028,5.141295784711465e-07
4283.651,1.1953045614760538e-06
4280.159000000001,8.151736264248445e-07
4306.907,6.388175285875374e-06
4294.66,1.7423733017489246e-06
4279.195,5.4838665131033025e-06
4283.8009999999995,1.0877253662182814e-05
4298.904,3.5677842835539566e-07
4306.380999999999,1.2328379456798684e-06
4313.725,3.977953789746637e-06
4319.833,3.4628078981181105e-07
4337.174,1.1255976418317287e-05
4337.34,1.0597588297685814e-06
4327.698,2.9044922959036478e-06
4341.8,3.112328156052157e-06
4332.561,3.4141540270036927e-06
4325.207,3.541322383697709e-06
4338.481,8.808840001911903e-06
4337.661,1.460643639806948e-06
4343.634,5.411719265819753e-06
4349.959,4.570416956967309e-06
4366.717000000001,4.233404150856734e-06
4370.66,9.427840378190963e-07
4374.969,1.1773582754426707e-06
4393.0779999999995,6.1022221188160914e-06
4385.9,1.0138351751399849e-07
4357.65,4.0543157732677933e-07
4352.948,1.0599620614510702e-06
4350.272,1.422540794239002e-06
4336.513,1.6184195131901134e-06
4332.51,7.578447542035791e-06
4326.182,1.1924077362759078e-06
4338.8,5.31616426789827e-07
4327.995,1.0858281933040832e-05
4314.48,4.036551054625873e-06
4320.534000000001,4.105369738338102e-06
4326.928,5.257531411683776e-05
4327.298,1.7957943485221296e-05
4313.087,4.681186992803447e-06
4300.657,2.8333302580453607e-05
4312.681,1.7314395403943139e-06
4327.552,6.369533679263324e-07
4354.717000000001,8.860070892025597e-07
4335.326,1.738834800881225e-05
4322.696,1.1348802747202307e-05
4340.628,1.9954756663648858e-05
4350.343,1.5576527243094867e-06
4330.412,8.149043702363693e-06
4313.862,4.5624336657239576e-06
4322.391,1.8327438285011287e-05
